rate,avgbs
0.412614,60.91304347826087
1.041281,66.21951219512195
1.308098,85.33333333333333
0.065229,42.45454545454545
3.039802,76.375
0.477722,53.58139534883721
1.711761,88.34615384615384
0.397228,72.05
0.457369,48.22222222222222
1.874429,72.77777777777777
0.222754,57.9
0.879274,67.46428571428571
0.546088,66.86363636363636
2.211023,60.23809523809524
0.34488,71.72
0.276025,57.57142857142857
1.888418,65.22727272727273
1.444793,81.23529411764706
0.339565,65.0
7.853752,91.39285714285714
0.293722,63.46534653465346
0.895774,78.6923076923077
0.789096,62.72727272727273
3.297174,67.63636363636364
0.464957,70.72727272727273
0.941702,76.53125
2.452929,70.16666666666667
1.699364,76.0
4.180809,74.81967213114754
0.891056,83.0952380952381
0.613219,73.83333333333333
1.838517,79.57142857142857
1.046309,68.475
3.382016,74.81818181818181
0.731696,71.80952380952381
0.563307,57.964285714285715
1.554975,82.86666666666666
2.446612,77.9090909090909
0.052381,47.94736842105263
2.325888,71.25
1.948247,77.85
1.540585,72.64864864864865
0.55086,71.22727272727273
0.904917,67.68181818181819
4.153811,55.76190476190476
1.485721,77.52631578947368
0.701771,77.75
1.667288,63.40909090909091
1.952881,87.28125
0.53973,72.08695652173913
1.766279,67.41666666666667
0.128727,41.23529411764706
4.345274,81.23809523809524
6.824068,81.41025641025641
7.190489,87.0
0.684147,67.36363636363636
0.245033,56.96969696969697
4.220324,71.05882352941177
0.402932,83.21428571428571
0.211889,55.56521739130435
9.100427,74.58441558441558
1.06039,87.18181818181819
2.052651,74.0
0.483964,75.53061224489795
3.433801,83.16
0.993017,73.68181818181819
5.099867,68.95454545454545
1.851081,64.22727272727273
3.308455,61.72727272727273
0.182495,65.84210526315789
1.444047,77.08695652173913
3.302619,70.19047619047619
3.1137,69.31818181818181
3.495367,71.75
1.718465,73.18181818181819
3.132768,84.29411764705883
0.071446,26.333333333333332
1.166077,83.96153846153847
0.745823,62.8125
0.020589,26.591836734693878
2.140531,79.0909090909091
1.59388,74.24242424242425
0.370114,80.23076923076923
2.913454,69.6470588235294
0.061297,68.71428571428571
0.271343,54.39473684210526
4.435694,78.27272727272727
0.990002,63.80952380952381
0.124294,47.4375
0.542305,74.27272727272727
1.178452,61.21052631578947
0.182468,75.0909090909091
0.229537,59.30769230769231
1.268615,75.98181818181818
0.29344,58.92
0.868915,68.6086956521739
2.351113,84.13793103448276
2.320013,69.91440953412784
2.788794,83.0909090909091
0.786037,77.81003584229391
3.340875,82.07142857142857
0.681757,91.0
1.586822,93.57142857142857
3.073051,80.42307692307692
1.970965,83.71929824561404
0.429121,64.76923076923077
1.427209,87.19047619047619
0.37403,74.50420168067227
3.195256,84.17021276595744
6.728682,96.66666666666667
0.211951,71.76190476190476
0.868049,79.57142857142857
2.568011,79.77777777777777
0.785494,82.0
7.261918,72.33333333333333
0.614976,72.9
1.793725,76.33333333333333
2.660059,89.32
0.374052,81.33333333333333
0.58491,68.65217391304348
2.704831,88.0
1.603689,80.85714285714286
0.66603,84.51515151515152
0.202608,73.76190476190476
0.225425,73.82978723404256
0.705955,74.26666666666667
4.448764,87.89189189189189
0.80152,64.69135802469135
2.308255,81.5
1.373273,90.93333333333334
6.882031,68.88888888888889
0.016565,37.70967741935484
2.345353,74.10695187165776
1.442957,85.22222222222223
0.784326,73.01492537313433
0.384045,70.11111111111111
1.664592,74.27777777777777
1.524322,66.45454545454545
1.613845,69.79824561403508
3.941424,69.61538461538461
3.993232,83.7107438016529
0.495358,84.57142857142857
2.073418,72.72972972972973
0.711312,77.23076923076923
1.964747,82.16666666666667
1.769541,81.5
4.791894,75.84
0.84319,71.41496598639456
0.150263,54.75
2.643834,78.34210526315789
1.069053,64.70588235294117
3.206505,79.64
2.355255,75.37037037037037
2.617827,69.02702702702703
1.441813,74.0
0.288013,59.61904761904762
6.775569,83.37837837837837
1.011367,72.23809523809524
4.176673,84.45454545454545
1.473406,70.6
1.560397,88.55555555555556
1.365305,66.91872791519435
0.26069,66.03030303030303
4.630131,87.17948717948718
2.646213,62.57471264367816
0.234626,62.51048951048951
0.593834,87.1304347826087
0.366792,73.34782608695652
0.748339,68.6969696969697
1.807188,82.83561643835617
0.422887,54.13559322033898
2.866526,59.7906976744186
6.759509,83.46666666666667
0.887549,63.0
5.520653,75.91304347826087
8.054447,69.61904761904762
0.8516,73.13636363636364
1.038622,81.74107142857143
1.569103,70.2
5.087404,77.61538461538461
3.36072,88.0
1.007943,87.52941176470588
0.246897,65.06666666666666
1.854442,73.11538461538461
2.567371,58.214285714285715
1.179063,68.32558139534883
0.864356,73.14666666666666
3.440662,78.075
0.187617,66.65517241379311
3.43049,73.54545454545455
0.503544,48.583333333333336
0.698911,73.56521739130434
0.987738,71.51282051282051
0.56134,74.22727272727273
0.031742,63.0
0.422713,67.66666666666667
1.020464,90.42857142857143
0.721886,70.91428571428571
0.731321,71.53658536585365
0.356132,70.2
0.049224,40.0
3.349892,76.1214953271028
0.311339,61.8
0.852891,77.17391304347827
4.267492,88.45454545454545
0.206868,34.43589743589744
4.518552,76.11764705882354
0.216319,75.375
1.267183,47.578947368421055
1.11317,75.83333333333333
1.091223,81.63636363636364
0.333807,65.78260869565217
0.073005,32.65882352941176
1.548447,71.12121212121212
8.862156,77.88888888888889
1.676061,63.93939393939394
0.392898,47.77777777777778
1.878574,86.32
1.832282,64.33333333333333
0.1925,72.26966292134831
0.866132,61.875
1.487625,73.72727272727273
1.283619,76.82352941176471
0.209965,65.52380952380952
0.952304,80.04545454545455
2.340619,75.47826086956522
0.429116,66.13522012578616
3.428225,46.8
3.617068,81.94444444444444
2.371102,63.904761904761905
4.896826,71.73684210526316
0.510274,79.23529411764706
0.928858,74.5625
0.195598,49.125
0.733706,81.9
