seed,gtnum,sites,duprate,lossrate,transferrate,pop,indelible_rate,avg_bs,nb_leaves,avg_brlen,height,max_copy,mean_copy,rf_eccetera,rf_iqtree
3017,1,300,0.5,0.5,1.0,10,0.412614,60.91304347826087,26,0.05067532820000003,0.67581415,2,1.04,0.0,0.30434782608695654
3017,2,300,0.5,0.5,1.0,10,1.041281,66.21951219512195,44,0.032718528604651166,0.39637262000000006,3,1.76,0.2682926829268293,0.3170731707317073
3017,3,300,0.5,0.5,1.0,10,1.308098,85.33333333333333,9,0.025758924375,0.15294688,3,1.8,0.0,0.16666666666666666
3017,4,300,0.5,0.5,1.0,10,0.065229,42.45454545454545,25,0.026753886458333338,0.20373897000000002,1,1.0,0.4090909090909091,0.6818181818181818
3017,5,300,0.5,0.5,1.0,10,3.039802,76.375,11,0.036331871,0.21878029999999998,1,1.0,0.25,0.25
3017,6,300,0.5,0.5,1.0,10,0.477722,53.58139534883721,46,0.01809937066666667,0.18873839,4,2.3,0.27906976744186046,0.4883720930232558
3017,7,300,0.5,0.5,1.0,10,1.711761,88.34615384615384,29,0.05220425589285715,0.72638205,3,1.45,0.038461538461538464,0.11538461538461539
3017,8,300,0.5,0.5,1.0,10,0.397228,72.05,23,0.06726756068181819,0.70479189,1,1.0,0.05,0.15
3017,9,300,0.5,0.5,1.0,10,0.457369,48.22222222222222,30,0.012332164827586213,0.14731728,2,1.2,0.37037037037037035,0.48148148148148145
3017,10,300,0.5,0.5,1.0,10,1.874429,72.77777777777777,30,0.029731516551724138,0.38536519,2,1.2,0.37037037037037035,0.2962962962962963
3017,11,300,0.5,0.5,1.0,10,1.852553,99.0,5,0.0298655875,0.16819048,1,1.0,0.0,0.0
3017,12,300,0.5,0.5,1.0,10,0.222754,57.9,43,0.0343254838095238,0.35738933,3,1.72,0.35,0.375
3017,13,300,0.5,0.5,1.0,10,0.879274,67.46428571428571,31,0.034509287,0.44843151000000003,3,1.9375,0.35714285714285715,0.39285714285714285
3017,14,300,0.5,0.5,1.0,10,0.546088,66.86363636363636,25,0.036678536458333334,0.34626456,2,1.0869565217391304,0.36363636363636365,0.45454545454545453
3017,15,300,0.5,0.5,1.0,10,2.211023,60.23809523809524,24,0.023118911086956517,0.32018886999999996,1,1.0,0.2857142857142857,0.2857142857142857
3017,16,300,0.5,0.5,1.0,10,0.34488,71.72,28,0.04581734425925927,0.9502951399999999,2,1.12,0.12,0.36
3017,17,300,0.5,0.5,1.0,10,0.276025,57.57142857142857,10,0.046597378333333335,0.31867217,1,1.0,0.2857142857142857,0.5714285714285714
3017,18,300,0.5,0.5,1.0,10,1.888418,65.22727272727273,25,0.052255825000000006,0.47045881,1,1.0,0.18181818181818182,0.5
3017,19,300,0.5,0.5,1.0,10,1.444793,81.23529411764706,37,0.050248817916666674,0.48442118000000006,3,1.5416666666666667,0.17647058823529413,0.20588235294117646
3017,20,300,0.5,0.5,1.0,10,0.339565,65.0,19,0.019965613333333337,0.27913483,2,1.0555555555555556,0.0625,0.1875
3017,21,300,0.5,0.5,1.0,10,7.853752,91.39285714285714,31,0.050631987166666656,0.6039898300000001,3,1.3478260869565217,0.07142857142857142,0.07142857142857142
3017,22,300,0.5,0.5,1.0,10,0.293722,63.46534653465346,104,0.06298676830097086,2.32395168,11,5.2,0.49504950495049505,0.48514851485148514
3017,23,300,0.5,0.5,1.0,10,0.895774,78.6923076923077,16,0.05538202500000001,0.46369793000000004,1,1.0,0.15384615384615385,0.0
3017,24,300,0.5,0.5,1.0,10,0.789096,62.72727272727273,25,0.03845876416666667,0.50808419,1,1.0,0.36363636363636365,0.5
3017,25,300,0.5,0.5,1.0,10,3.297174,67.63636363636364,25,0.033402816875,0.20587107000000002,1,1.0,0.18181818181818182,0.3181818181818182
3017,26,300,0.5,0.5,1.0,10,0.464957,70.72727272727273,25,0.07422305166666668,0.88850461,2,1.0869565217391304,0.13636363636363635,0.2727272727272727
3017,27,300,0.5,0.5,1.0,10,0.941702,76.53125,35,0.024184748823529417,0.27623553,3,1.4583333333333333,0.1875,0.25
3017,28,300,0.5,0.5,1.0,10,2.452929,70.16666666666667,27,0.020117981730769226,0.46767806,2,1.08,0.3333333333333333,0.375
3017,29,300,0.5,0.5,1.0,10,1.699364,76.0,25,0.026318457916666677,0.17388596,1,1.0,0.18181818181818182,0.22727272727272727
3017,30,300,0.5,0.5,1.0,10,4.180809,74.81967213114754,64,0.053055135079365066,0.73815797,4,2.56,0.18032786885245902,0.26229508196721313
3017,31,300,0.5,0.5,1.0,10,0.891056,83.0952380952381,24,0.06784937369565217,0.74643874,1,1.0,0.09523809523809523,0.14285714285714285
3017,32,300,0.5,0.5,1.0,10,0.613219,73.83333333333333,15,0.023689347500000003,0.18114265000000002,1,1.0,0.3333333333333333,0.5
3017,33,300,0.5,0.5,1.0,10,1.838517,79.57142857142857,24,0.03583672956521738,0.39928991,1,1.0,0.23809523809523808,0.19047619047619047
3017,34,300,0.5,0.5,1.0,10,1.046309,68.475,43,0.02870671452380952,0.40979056999999997,3,1.72,0.2,0.35
3017,35,300,0.5,0.5,1.0,10,3.382016,74.81818181818181,14,0.03568978961538462,0.37713953,1,1.0,0.18181818181818182,0.36363636363636365
3017,36,300,0.5,0.5,1.0,10,0.731696,71.80952380952381,45,0.04962126636363635,0.55158734,2,1.8,0.14285714285714285,0.2857142857142857
3017,37,300,0.5,0.5,1.0,10,0.563307,57.964285714285715,31,0.04286703566666665,0.44139767,4,2.066666666666667,0.5714285714285714,0.5357142857142857
3017,38,300,0.5,0.5,1.0,10,1.554975,82.86666666666666,33,0.030151511562500004,0.33324688999999996,2,1.434782608695652,0.16666666666666666,0.23333333333333334
3017,39,300,0.5,0.5,1.0,10,2.446612,77.9090909090909,25,0.035001821458333346,0.2686276,1,1.0,0.3181818181818182,0.13636363636363635
3017,40,300,0.5,0.5,1.0,10,0.183852,93.0,5,0.03611209,0.11853855999999999,1,1.0,0.0,0.0
3017,41,300,0.5,0.5,1.0,10,2.824665,63.4,8,0.007991547857142857,0.06939039999999999,2,1.6,0.2,0.4
3017,42,300,0.5,0.5,1.0,10,0.052381,47.94736842105263,22,0.023168673809523817,0.15723306,2,1.0476190476190477,0.2631578947368421,0.631578947368421
3017,43,300,0.5,0.5,1.0,10,2.325888,71.25,35,0.08298823911764705,0.9452130000000001,3,1.4,0.15625,0.375
3017,44,300,0.5,0.5,1.0,10,1.948247,77.85,23,0.05826901136363636,0.7171587100000001,3,1.5333333333333334,0.1,0.3
3017,45,300,0.5,0.5,1.0,10,1.540585,72.64864864864865,40,0.03919878294871794,0.54687353,3,2.0,0.16216216216216217,0.24324324324324326
3017,46,300,0.5,0.5,1.0,10,1.335448,-1,2,0.034076195000000004,0.03634361,2,2.0,-1,-1
3017,47,300,0.5,0.5,1.0,10,0.55086,71.22727272727273,25,0.05188023979166667,0.7465488999999998,1,1.0,0.22727272727272727,0.3181818181818182
3017,48,300,0.5,0.5,1.0,10,0.904917,67.68181818181819,25,0.04709316041666666,0.43924261000000003,1,1.0,0.13636363636363635,0.3181818181818182
3017,49,300,0.5,0.5,1.0,10,4.153811,55.76190476190476,24,0.048164798695652176,0.54922738,1,1.0,0.14285714285714285,0.38095238095238093
3017,50,300,0.5,0.5,1.0,10,1.485721,77.52631578947368,22,0.02480987928571428,0.22666821,2,1.4666666666666666,0.10526315789473684,0.15789473684210525
3017,51,300,0.5,0.5,1.0,10,0.701771,77.75,23,0.02792214886363636,0.22176136,1,1.0,0.3,0.4
3017,52,300,0.5,0.5,1.0,10,1.667288,63.40909090909091,25,0.027256667291666672,0.32531898000000004,1,1.0,0.22727272727272727,0.3181818181818182
3017,53,300,0.5,0.5,1.0,10,1.952881,87.28125,35,0.038165619705882364,0.58721271,3,1.5909090909090908,0.21875,0.28125
3017,54,300,0.5,0.5,1.0,10,0.53973,72.08695652173913,26,0.025738434799999994,0.36691259000000004,2,1.04,0.043478260869565216,0.391304347826087
3017,55,300,0.5,0.5,1.0,10,1.766279,67.41666666666667,27,0.05848750346153845,0.51540641,3,1.8,0.08333333333333333,0.25
3017,56,300,0.5,0.5,1.0,10,0.128727,41.23529411764706,20,0.04383189605263159,0.28464975,1,1.0,0.47058823529411764,0.7058823529411765
3017,57,300,0.5,0.5,1.0,10,4.345274,81.23809523809524,24,0.05540580652173914,0.63072807,1,1.0,0.047619047619047616,0.09523809523809523
3017,58,300,0.5,0.5,1.0,10,6.824068,81.41025641025641,42,0.0685832575609756,0.7545114599999999,3,1.68,0.15384615384615385,0.1794871794871795
3017,59,300,0.5,0.5,1.0,10,7.190489,87.0,13,0.0198159675,0.12216192,2,1.3,0.1,0.1
3017,60,300,0.5,0.5,1.0,10,7.994826,100.0,4,0.027955825,0.07526338,1,1.0,0.0,0.0
3017,61,300,0.5,0.5,1.0,10,0.684147,67.36363636363636,25,0.012512252916666668,0.125395,1,1.0,0.36363636363636365,0.3181818181818182
3017,62,300,0.5,0.5,1.0,10,0.245033,56.96969696969697,36,0.032520589,0.47168553,3,1.5,0.15151515151515152,0.3333333333333333
